round user time_start time_end time_php time_js
22 usuario13 1462279164.09 1462279164.07 -25.6998538971 26978
22 usuario14 1462279163.77 1462279140.1 -23669.1000462 3511
22 usuario1 1462279164.37 1462279138.59 -25780.5001736 1733
22 usuario9 1462279163.62 1462279138.91 -24708.8000774 2292
22 usuario16 1462279163.86 1462279139.15 -24715.8000469 2249
22 usuario15 1462279163.79 1462279139.1 -24693.5999393 2127
22 usuario11 1462279164.08 1462279141.38 -22704.3998241 4694
22 usuario12 1462279164.4 1462279145.83 -18574.5000839 9319
22 usuario8 1462279163.73 1462279144.14 -19591.0999775 7067
22 usuario10 1462279163.91 1462279147.43 -16480.6001186 9992
23 usuario3 1462279189.87 1462279166.77 -23096.1999893 1822
23 usuario2 1462279190.17 1462279167.55 -22623.3000755 2242
23 usuario5 1462279190.06 1462279165.86 -24207.7999115 813
23 usuario4 1462279189.79 1462279168.11 -21677.7000427 3151
23 usuario7 1462279189.48 1462279186.34 -3134.59992409 20954
23 usuario6 1462279189.98 1462279176.59 -13382.2999001 11624
23 usuario13 1462279190.33 1462279190.3 -28.7001132965 25115
23 usuario14 1462279190.01 1462279167.37 -22630.8000088 2548
23 usuario1 1462279189.69 1462279167.06 -22626.1000633 1636
23 usuario9 1462279189.81 1462279180.5 -9312.09993362 15824
23 usuario16 1462279190.07 1462279168.43 -21644.7000504 3515
23 usuario15 1462279189.5 1462279166.86 -22634.8001957 2017
23 usuario11 1462279190.06 1462279168.44 -21616.6000366 3302
23 usuario12 1462279190.01 1462279188.92 -1090.49987793 23464
23 usuario8 1462279190.46 1462279171.97 -18491.1999702 7150
23 usuario10 1462279190.46 1462279173.98 -16485.1999283 9013
24 usuario3 1462279205.25 1462279192.62 -12631.000042 1652
24 usuario2 1462279205.02 1462279193.56 -11462.100029 2332
24 usuario5 1462279205.23 1462279193.63 -11601.2001038 2476
24 usuario4 1462279204.63 1462279194.33 -10300.6000519 3491
24 usuario7 1462279205.18 1462279198.98 -6201.69997215 8451
24 usuario6 1462279205.17 1462279204.1 -1075.39987564 13065
24 usuario13 1462279205.11 1462279205.07 -40.1999950409 13657
24 usuario14 1462279205.19 1462279193.86 -11328.400135 2806
24 usuario1 1462279205.47 1462279192.08 -13392.1999931 1337
24 usuario9 1462279204.91 1462279204.88 -32.1998596191 14006
24 usuario16 1462279205.49 1462279194.17 -11320.800066 3047
24 usuario15 1462279205.3 1462279192.93 -12374.3999004 2375
24 usuario11 1462279205.09 1462279193.74 -11356.2998772 2625
24 usuario12 1462279205.06 1462279194.73 -10324.7001171 3669
24 usuario8 1462279205.27 1462279195.99 -9279.59990501 4471
24 usuario10 1462279205.39 1462279197.13 -8260.49995422 5609
25 usuario3 1462279225.95 1462279208.1 -17854.6001911 1765
25 usuario2 1462279226.14 1462279208.64 -17500.8001328 2569
25 usuario5 1462279226.16 1462279208.26 -17905.3001404 1949
25 usuario4 1462279225.97 1462279207.41 -18559.0999126 1730
25 usuario7 1462279226.02 1462279211.52 -14499.7999668 5283
25 usuario6 1462279225.88 1462279220.69 -5188.09986115 14465
25 usuario13 1462279225.9 1462279225.87 -27.8000831604 19662
25 usuario14 1462279225.58 1462279209.1 -16473.6001492 2852
25 usuario1 1462279226.5 1462279207.98 -18521.3999748 1457
25 usuario9 1462279225.76 1462279211.28 -14484.3001366 5291
25 usuario16 1462279226.44 1462279214.1 -12339.4999504 7523
25 usuario15 1462279226.38 1462279207.85 -18533.6999893 1494
25 usuario11 1462279226.27 1462279209.76 -16502.3999214 3611
25 usuario12 1462279225.84 1462279218.59 -7255.59997559 12411
25 usuario8 1462279226.49 1462279209.02 -17474.8001099 2696
25 usuario10 1462279226.35 1462279212.95 -13401.2000561 6498
26 usuario3 1462279248.6 1462279230.77 -17835.3002071 3713
26 usuario2 1462279249.02 1462279229.44 -19583.6999416 2241
26 usuario5 1462279249.54 1462279229.54 -20001.6000271 2281
26 usuario4 1462279249.19 1462279230.66 -18527.299881 3633
26 usuario7 1462279248.68 1462279240.43 -8253.19981575 13350
26 usuario6 1462279249.35 1462279238.01 -11336.6999626 11076
26 usuario13 1462279249.55 1462279249.52 -27.4000167847 22524
26 usuario14 1462279248.75 1462279229.2 -19555.5000305 2569
26 usuario1 1462279248.74 1462279232.26 -16476.9999981 4714
26 usuario9 1462279249.14 1462279235.75 -13392.1000957 8934
26 usuario16 1462279248.68 1462279230.16 -18523.3001709 2661
26 usuario15 1462279249.28 1462279228.7 -20586.400032 1261
26 usuario11 1462279249.41 1462279232.81 -16595.3998566 5492
26 usuario12 1462279249.36 1462279235.95 -13409.8000526 9046
26 usuario8 1462279249.47 1462279232.0 -17471.9998837 4453
26 usuario10 1462279248.8 1462279231.27 -17533.0998898 3870
27 usuario3 1462279270.77 1462279257.11 -13664.5998955 7396
27 usuario2 1462279270.71 1462279252.17 -18543.7002182 2089
27 usuario5 1462279271.56 1462279253.51 -18047.8999615 2897
27 usuario4 1462279271.42 1462279252.87 -18545.800209 2627
27 usuario7 1462279270.94 1462279264.73 -6212.20016479 14960
27 usuario6 1462279271.28 1462279256.82 -14463.1998539 6412
27 usuario13 1462279271.29 1462279271.26 -28.5999774933 20628
27 usuario14 1462279270.87 1462279254.39 -16483.9999676 4579
27 usuario1 1462279270.98 1462279251.44 -19537.8000736 1647
27 usuario9 1462279270.91 1462279266.74 -4171.80013657 16542
27 usuario16 1462279270.84 1462279261.55 -9291.19992256 11797
27 usuario15 1462279271.24 1462279251.55 -19693.3999062 1208
27 usuario11 1462279271.58 1462279259.19 -12382.3001385 8703
27 usuario12 1462279271.22 1462279263.97 -7246.79994583 13551
27 usuario8 1462279271.37 1462279255.93 -15441.2999153 5394
27 usuario10 1462279271.08 1462279256.67 -14416.2998199 6809
28 usuario3 1462279293.86 1462279274.93 -18929.500103 3069
28 usuario2 1462279294.15 1462279273.57 -20577.8000355 1811
28 usuario5 1462279294.12 1462279276.24 -17882.8999996 3545
